Block Name,Cell ID,vtkOriginalCellIds,Cell Type,Ma,T,U_0,U_1,U_2,U_Magnitude,p
internalMesh,2590,2590,12,1.3057,2.09522,1.88541,-0.131475,0,1.88999,4.69805
internalMesh,2591,2591,12,1.30696,2.09428,1.8874,-0.122664,0,1.89138,4.69722
internalMesh,2592,2592,12,1.30844,2.09312,1.88957,-0.113856,0,1.893,4.69501
internalMesh,2593,2593,12,1.3104,2.09155,1.8922,-0.105102,0,1.89512,4.69025
internalMesh,2594,2594,12,1.31291,2.08955,1.89538,-0.0964961,0,1.89783,4.68072
internalMesh,2595,2595,12,1.31595,2.08696,1.89903,-0.08804,0,1.90107,4.66747
internalMesh,2596,2596,12,1.31941,2.08414,1.9031,-0.0797653,0,1.90477,4.65081
internalMesh,2597,2597,12,1.32338,2.08072,1.90759,-0.0717075,0,1.90894,4.63088
internalMesh,2598,2598,12,1.32772,2.07711,1.91247,-0.0638914,0,1.91354,4.60781
internalMesh,2599,2599,12,1.3325,2.07302,1.9177,-0.0563272,0,1.91853,4.58186
internalMesh,2600,2600,12,1.33757,2.06881,1.92324,-0.0490091,0,1.92386,4.55333
internalMesh,2601,2601,12,1.34295,2.06429,1.92904,-0.0419213,0,1.9295,4.52259
internalMesh,2602,2602,12,1.34856,2.05963,1.93505,-0.0350422,0,1.93537,4.48997
internalMesh,2603,2603,12,1.35437,2.05485,1.94124,-0.0283525,0,1.94145,4.45576
internalMesh,2604,2604,12,1.36038,2.04988,1.94758,-0.0218375,0,1.9477,4.42019
internalMesh,2605,2605,12,1.36651,2.04494,1.95406,-0.0154887,0,1.95412,4.38341
internalMesh,2606,2606,12,1.37285,2.03973,1.96067,-0.00929935,0,1.96069,4.34553
internalMesh,2607,2607,12,1.37928,2.03461,1.96739,-0.00327781,0,1.96739,4.30658
internalMesh,2608,2608,12,1.38593,2.0292,1.97425,0.0025589,0,1.97425,4.26679
internalMesh,2609,2609,12,1.39263,2.02386,1.98117,0.00817057,0,1.98119,4.22643
internalMesh,2610,2610,12,1.39942,2.0184,1.98812,0.0135513,0,1.98817,4.18564
internalMesh,2611,2611,12,1.40629,2.01289,1.99509,0.0187043,0,1.99518,4.14447
internalMesh,2612,2612,12,1.41319,2.00738,2.00209,0.0236306,0,2.00223,4.10303
internalMesh,2613,2613,12,1.42017,2.00171,2.00908,0.0283321,0,2.00928,4.06139
internalMesh,2614,2614,12,1.42714,1.99615,2.01607,0.0328067,0,2.01634,4.01964
internalMesh,2615,2615,12,1.4342,1.99038,2.02304,0.0370528,0,2.02338,3.97789
